gisjoin,town,area,num,pop,pctw,pctnw
Bristol,Bristol,town,,45499,99,1
Burlington,Burlington,town,,2790,100,0
East Granby,East Granby,town,,2434,99,1
Granby,Granby,town,,4968,100,0
Hartland,Hartland,town,,1416,100,0
Marlborough,Marlborough,town,,1961,100,0
