GISJOIN,GISJOIN2,gisjoin
G09000305049,9000305049,G0900030504900
G09000305101,9000305101,G0900030510100
G09000305102,9000305102,G0900030510200
G09000305103,9000305103,G0900030510300
G09000305104,9000305104,G0900030510400
G09000305105,9000305105,G0900030510500
G09000305106,9000305106,G0900030510600
G09000305107,9000305107,G0900030510700
G09000305108,9000305108,G0900030510800
G09000305109,9000305109,G0900030510900
G09000305110,9000305110,G0900030511000
G09000305111,9000305111,G0900030511100
G09000305112,9000305112,G0900030511200
G09000305113,9000305113,G0900030511300
G09000305114,9000305114,G0900030511400
G09000305141,9000305141,G0900030514100
G09000305142,9000305142,G0900030514200
G09000305143,9000305143,G0900030514300
G09000305144,9000305144,G0900030514400
G09000305145,9000305145,G0900030514500
G09000305146,9000305146,G0900030514600
G09000305147,9000305147,G0900030514700
G09000305148,9000305148,G0900030514800
G09000305149,9000305149,G0900030514900
G09000305150,9000305150,G0900030515000
G09000305151,9000305151,G0900030515100
G09000305152,9000305152,G0900030515200
G09000305201,9000305201,G0900030520100
G0900030520201,9.00E+11,G0900030520201
G0900030520202,9.00E+11,G0900030520202
G09000305203,9000305203,G0900030520300
G09000305204,9000305204,G0900030520400
G0900030520501,9.00E+11,G0900030520501
G0900030520502,9.00E+11,G0900030520502
G09000305241,9000305241,G0900030524100
