gisjoin,town,area,num,pop,pctwnh,White,Negro,Other Races,Source
Avon,Avon,town,,3171,100,,,,1950 Census report with race estimate
Berlin,Berlin,town,,7470,99,,,,1950 Census report with race estimate
Bristol,Bristol,town,,35961,100,35784,161,16,1950 Census report
Burlington,Burlington,town,,1846,100,,,,1950 Census report with race estimate
Canton,Canton,town,,3613,100,,,,1950 Census report with race estimate
East Granby,East Granby,town,,1327,97,,,,1950 Census report with race estimate
East Windsor,East Windsor,town,,4859,98,,,,1950 Census report with race estimate
Enfield,Enfield,town,,15464,99,,,,1950 Census report with race estimate
Farmington,Farmington,town,,7026,99,,,,1950 Census report with race estimate
Glastonbury,Glastonbury,town,,8818,99,,,,1950 Census report with race estimate
Granby,Granby,town,,2693,100,,,,1950 Census report with race estimate
Hartland,Hartland,town,,549,100,,,,1950 Census report with race estimate
Manchester,Manchester,town,,34116,100,,,,1950 Census report with race estimate
Marlborough,Marlborough,town,,901,99,,,,1950 Census report with race estimate
New Britain,New Britain,town,,73726,99,72686,1028,12,1950 Census report
Plainville,Plainville,town,,9994,98,,,,1950 Census report with race estimate
Rocky Hill,Rocky Hill,town,,5108,99,,,,1950 Census report with race estimate
Simsbury,Simsbury,town,,4822,99,,,,1950 Census report with race estimate
South Windsor,South Windsor,town,,13061,99,,,,1950 Census report with race estimate
Southington,Southington,town,,4066,100,,,,1950 Census report with race estimate
Suffield,Suffield,town,,4895,96,,,,1950 Census report with race estimate
Windsor Locks,Windsor Locks,town,,5221,99,,,,1950 Census report with race estimate
G0900030C0001,West Hartford,tract,C1,3528,100,3528,0,0,1950 Census - Social Explorer
G0900030C0002,West Hartford,tract,C2,8198,100,8175,21,2,1950 Census - Social Explorer
G0900030C0003,West Hartford,tract,C3,9329,100,9299,27,3,1950 Census - Social Explorer
G0900030C0004,West Hartford,tract,C4,6873,100,6866,7,0,1950 Census - Social Explorer
G0900030C0005,West Hartford,tract,C5,8734,100,8703,30,1,1950 Census - Social Explorer
G0900030C0006,West Hartford,tract,C6,7740,99,7649,88,3,1950 Census - Social Explorer
G0900030C0007,Bloomfield,tract,C7,5746,96,5510,236,0,1950 Census - Social Explorer
G0900030C0008,Windsor,tract,C8,8020,99,7906,113,1,1950 Census - Social Explorer
G0900030C0009,Windsor,tract,C9,3813,95,3625,188,0,1950 Census - Social Explorer
G0900030C0010,East Hartford,tract,C10,7244,100,7238,5,1,1950 Census - Social Explorer
G0900030C0011,East Hartford,tract,C11,6549,99,6499,50,0,1950 Census - Social Explorer
G0900030C0012,East Hartford,tract,C12,6035,99,5963,70,2,1950 Census - Social Explorer
G0900030C0013,East Hartford,tract,C13,10105,98,9909,183,13,1950 Census - Social Explorer
G0900030C0014,Wethersfield,tract,C14,3684,96,3545,138,1,1950 Census - Social Explorer
G0900030C0015,Wethersfield,tract,C15,8849,100,8809,38,2,1950 Census - Social Explorer
G0900030C0016,Newington,tract,C16,9110,100,9074,34,2,1950 Census - Social Explorer
G09000300001,Hartford,tract,1,3846,100,3835,11,0,1950 Census - Social Explorer
G09000300002,Hartford,tract,2,3459,100,3454,5,0,1950 Census - Social Explorer
G09000300003,Hartford,tract,3,7227,100,7218,3,6,1950 Census - Social Explorer
G09000300004,Hartford,tract,4,3024,100,3022,2,0,1950 Census - Social Explorer
G09000300005,Hartford,tract,5,3572,100,3562,9,1,1950 Census - Social Explorer
G09000300006,Hartford,tract,6,2562,95,2437,98,27,1950 Census - Social Explorer
G09000300007,Hartford,tract,7,4138,61,2529,1609,0,1950 Census - Social Explorer
G09000300008,Hartford,tract,8,1830,53,976,853,1,1950 Census - Social Explorer
G09000300009,Hartford,tract,9,5534,8,443,5083,8,1950 Census - Social Explorer
G09000300010,Hartford,tract,10,3685,86,3166,519,0,1950 Census - Social Explorer
G09000300011,Hartford,tract,11,6732,82,5487,1241,4,1950 Census - Social Explorer
G09000300012,Hartford,tract,12,3676,100,3667,8,1,1950 Census - Social Explorer
G09000300013,Hartford,tract,13,4799,94,4523,276,0,1950 Census - Social Explorer
G09000300014,Hartford,tract,14,2592,94,2446,128,18,1950 Census - Social Explorer
G09000300015,Hartford,tract,15,3194,81,2588,606,0,1950 Census - Social Explorer
G09000300016,Hartford,tract,16,6312,83,5211,1089,12,1950 Census - Social Explorer
G09000300017,Hartford,tract,17,1551,100,1548,3,0,1950 Census - Social Explorer
G09000300018,Hartford,tract,18,2068,100,2059,1,8,1950 Census - Social Explorer
G09000300019,Hartford,tract,19,2892,96,2775,116,1,1950 Census - Social Explorer
G09000300020,Hartford,tract,20,4525,99,4500,22,3,1950 Census - Social Explorer
G09000300021,Hartford,tract,21,6484,99,6387,97,0,1950 Census - Social Explorer
G09000300022,Hartford,tract,22,2778,97,2700,73,5,1950 Census - Social Explorer
G09000300023,Hartford,tract,23,5333,100,5331,1,1,1950 Census - Social Explorer
G09000300024,Hartford,tract,24,5782,100,5775,6,1,1950 Census - Social Explorer
G09000300025,Hartford,tract,25,5260,100,5235,24,1,1950 Census - Social Explorer
G09000300026,Hartford,tract,26,3780,100,3779,1,0,1950 Census - Social Explorer
G09000300027,Hartford,tract,27,3790,100,3790,0,0,1950 Census - Social Explorer
G09000300028,Hartford,tract,28,6121,100,6112,7,2,1950 Census - Social Explorer
G09000300029,Hartford,tract,29,1808,99,1798,5,5,1950 Census - Social Explorer
G09000300030,Hartford,tract,30,2703,100,2702,0,1,1950 Census - Social Explorer
G09000300031,Hartford,tract,31,4400,100,4391,6,3,1950 Census - Social Explorer
G09000300032,Hartford,tract,32,2299,99,2284,14,1,1950 Census - Social Explorer
G09000300033,Hartford,tract,33,1181,98,1163,18,0,1950 Census - Social Explorer
G09000300034,Hartford,tract,34,4050,98,3976,74,0,1950 Census - Social Explorer
G09000300035,Hartford,tract,35,8672,100,8641,29,2,1950 Census - Social Explorer
G09000300036,Hartford,tract,36,2197,100,2187,7,3,1950 Census - Social Explorer
G09000300037,Hartford,tract,37,5356,99,5319,23,14,1950 Census - Social Explorer
G09000300038,Hartford,tract,38,3443,100,3436,2,5,1950 Census - Social Explorer
G09000300039,Hartford,tract,39,4728,100,4707,21,0,1950 Census - Social Explorer
G09000300040,Hartford,tract,40,14032,97,13550,481,1,1950 Census - Social Explorer
G09000300041,Hartford,tract,41,5982,99,5898,83,1,1950 Census - Social Explorer
