gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or More Races (non-Hispanic),Hispanic or Latino,Source
G0900030460202,Farmington,tract 4602.02,,4119,82,3378,106,5,372,0,5,67,186,2010 Census - Social Explorer
G0900030460203,Farmington,tract 4602.03,,3018,82,2468,82,0,309,1,4,45,109,2010 Census - Social Explorer
G0900030460204,Farmington,tract 4602.04,,5941,82,4843,111,2,672,4,8,91,210,2010 Census - Social Explorer
G0900030460301,Farmington,tract 4603.01,,4982,88,4388,127,3,214,0,8,51,191,2010 Census - Social Explorer
G0900030460302,Farmington,tract 4603.02,,4033,89,3578,64,1,182,0,1,60,147,2010 Census - Social Explorer
G0900030462101,Avon,tract 4621.01,,5833,89,5213,52,3,281,0,12,82,190,2010 Census - Social Explorer
G0900030462102,Avon,tract 4621.02,,4239,86,3636,45,0,334,1,2,71,150,2010 Census - Social Explorer
G0900030462201,Avon,tract 4622.01,,5256,89,4669,86,3,242,0,11,66,179,2010 Census - Social Explorer
G0900030462202,Avon,tract 4622.02,,2692,82,2204,70,1,282,0,1,41,93,2010 Census - Social Explorer
G0900030464101,Canton,tract 4641.01,,5285,95,5047,23,8,47,0,0,41,119,2010 Census - Social Explorer
G0900030464102,Canton,tract 4641.02,,5007,92,4624,59,11,104,1,4,58,146,2010 Census - Social Explorer
G0900030466101,Simsbury,tract 4661.01,,4200,91,3841,51,4,109,0,8,60,127,2010 Census - Social Explorer
G0900030466102,Simsbury,tract 4661.02,,4978,89,4417,53,2,265,0,6,82,153,2010 Census - Social Explorer
G0900030466201,Simsbury,tract 4662.01,,2318,84,1955,102,1,125,0,4,55,76,2010 Census - Social Explorer
G0900030466202,Simsbury,tract 4662.02,,4732,93,4418,23,4,102,4,9,44,128,2010 Census - Social Explorer
G0900030466300,Simsbury,tract 4663,,4866,89,4349,60,3,229,0,7,60,158,2010 Census - Social Explorer
G0900030466400,Simsbury,tract 4664,,2417,88,2138,80,1,58,0,11,34,95,2010 Census - Social Explorer
G0900030468101,Granby,tract 4681.01,,7468,95,7102,87,9,56,5,6,77,126,2010 Census - Social Explorer
G0900030468102,Granby,tract 4681.02,,3814,95,3621,29,7,44,1,2,40,70,2010 Census - Social Explorer
G0900030470100,East Granby,tract 4701,,5148,90,4614,107,7,130,4,11,104,171,2010 Census - Social Explorer
G0900030471100,Bloomfield,tract 4711,,3635,8,287,2971,6,22,1,7,123,218,2010 Census - Social Explorer
G0900030471200,Bloomfield,tract 4712,,3347,12,398,2578,3,53,0,9,90,216,2010 Census - Social Explorer
G0900030471300,Bloomfield,tract 4713,,4577,37,1678,2358,9,155,1,20,113,243,2010 Census - Social Explorer
G0900030471400,Bloomfield,tract 4714,,5515,62,3413,1639,9,89,3,10,97,255,2010 Census - Social Explorer
G0900030471500,Bloomfield,tract 4715,,3412,32,1087,1972,11,63,3,3,56,217,2010 Census - Social Explorer
G0900030473100,Windsor,tract 4731,,6246,39,2451,2880,8,159,0,16,126,606,2010 Census - Social Explorer
G0900030473400,Windsor,tract 4734,,1854,69,1277,317,5,47,0,5,59,144,2010 Census - Social Explorer
G0900030473501,Windsor,tract 4735.01,,4400,63,2788,925,8,287,0,21,103,268,2010 Census - Social Explorer
G0900030473502,Windsor,tract 4735.02,,3241,66,2153,662,3,124,0,2,73,224,2010 Census - Social Explorer
G0900030473601,Windsor,tract 4736.01,,3320,72,2401,545,1,119,0,4,70,180,2010 Census - Social Explorer
G0900030473602,Windsor,tract 4736.02,,2260,55,1254,482,1,274,2,5,59,183,2010 Census - Social Explorer
G0900030473700,Windsor,tract 4737,,5865,39,2284,2643,13,179,0,18,147,581,2010 Census - Social Explorer
G0900030473800,Windsor,tract 4738,,1858,13,250,1194,10,100,0,4,44,256,2010 Census - Social Explorer
G0900030476100,Windsor Locks,tract 4761,,4570,80,3636,314,5,217,0,9,126,263,2010 Census - Social Explorer
G0900030476200,Windsor Locks,tract 4762,,2814,91,2563,62,1,52,0,0,46,90,2010 Census - Social Explorer
G0900030476300,Windsor Locks,tract 4763,,5114,82,4191,199,7,396,0,9,89,223,2010 Census - Social Explorer
G0900030477101,Suffield,tract 4771.01,,4259,95,4059,43,4,48,2,0,40,63,2010 Census - Social Explorer
G0900030477102,Suffield,tract 4771.02,,8521,75,6410,1104,13,137,3,15,76,763,2010 Census - Social Explorer
G0900030477200,Suffield,tract 4772,,2955,95,2801,33,3,16,1,1,40,60,2010 Census - Social Explorer
G0900030480300,Enfield,tract 4803,,2244,90,2016,60,4,21,4,5,37,97,2010 Census - Social Explorer
G0900030480400,Enfield,tract 4804,,3730,91,3379,81,4,86,0,0,55,125,2010 Census - Social Explorer
