gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or more races (non-Hispanic),Hispanic or Latino,Source
G0900030430601,Southington,tract 4306.01,,5112,87,4468,146,14,276,0,0,82,126,ACS 2014-18 - Social Explorer
G0900030430602,Southington,tract 4306.02,,3933,88,3453,91,0,241,0,0,0,148,ACS 2014-18 - Social Explorer
G0900030460100,Farmington,tract 4601,,3287,79,2591,48,1,345,0,0,45,257,ACS 2014-18 - Social Explorer
G0900030460202,Farmington,tract 4602.02,,4249,81,3457,92,7,566,0,20,46,61,ACS 2014-18 - Social Explorer
G0900030460203,Farmington,tract 4602.03,,3134,73,2284,24,49,466,0,28,73,210,ACS 2014-18 - Social Explorer
G0900030460204,Farmington,tract 4602.04,,6332,76,4808,173,0,968,0,0,94,289,ACS 2014-18 - Social Explorer
G0900030460301,Farmington,tract 4603.01,,4859,86,4161,93,0,291,0,9,72,233,ACS 2014-18 - Social Explorer
G0900030460302,Farmington,tract 4603.02,,3685,82,3026,37,4,235,0,21,84,278,ACS 2014-18 - Social Explorer
G0900030462101,Avon,tract 4621.01,,6607,82,5419,1,0,419,0,69,82,617,ACS 2014-18 - Social Explorer
G0900030462102,Avon,tract 4621.02,,3852,79,3035,17,0,577,0,8,139,76,ACS 2014-18 - Social Explorer
G0900030462201,Avon,tract 4622.01,,5110,83,4256,38,0,713,0,0,26,77,ACS 2014-18 - Social Explorer
G0900030462202,Avon,tract 4622.02,,2769,73,2017,84,0,575,0,0,16,77,ACS 2014-18 - Social Explorer
G0900030464101,Canton,tract 4641.01,,5320,85,4530,183,0,129,0,14,118,346,ACS 2014-18 - Social Explorer
G0900030464102,Canton,tract 4641.02,,4986,87,4355,91,0,369,0,0,33,138,ACS 2014-18 - Social Explorer
G0900030466101,Simsbury,tract 4661.01,,4537,91,4143,71,0,90,0,0,0,233,ACS 2014-18 - Social Explorer
G0900030466102,Simsbury,tract 4661.02,,4871,92,4464,31,0,149,0,0,72,155,ACS 2014-18 - Social Explorer
G0900030466201,Simsbury,tract 4662.01,,2833,79,2241,194,92,110,0,0,69,127,ACS 2014-18 - Social Explorer
G0900030466202,Simsbury,tract 4662.02,,4677,95,4422,1,0,121,0,0,26,107,ACS 2014-18 - Social Explorer
G0900030466300,Simsbury,tract 4663,,4965,85,4221,72,95,149,0,11,19,398,ACS 2014-18 - Social Explorer
G0900030466400,Simsbury,tract 4664,,2636,81,2142,51,66,111,0,0,28,238,ACS 2014-18 - Social Explorer
G0900030468101,Granby,tract 4681.01,,7273,97,7071,35,0,5,0,0,89,73,ACS 2014-18 - Social Explorer
G0900030468102,Granby,tract 4681.02,,4032,93,3754,15,0,140,0,56,56,11,ACS 2014-18 - Social Explorer
G0900030470100,East Granby,tract 4701,,5256,85,4442,119,0,137,0,15,188,355,ACS 2014-18 - Social Explorer
G0900030471100,Bloomfield,tract 4711,,4043,6,254,3173,0,0,0,92,155,369,ACS 2014-18 - Social Explorer
