gisjoin,town,area,num,pop,pctwnh,White,Negro,Other Races,Puerto Rican or Spanish Surname,Source
G0900030HA0015,Hartford,tract,15,3374,54,2047,1308,19,227,1960 Census - Social Explorer
G0900030HA0016,Hartford,tract,16,5503,39,2411,3063,29,280,1960 Census - Social Explorer
G0900030HA0017,Hartford,tract,17,1224,98,1202,22,0,0,1960 Census - Social Explorer
G0900030HA0018,Hartford,tract,18,1157,95,1142,12,3,48,1960 Census - Social Explorer
G0900030HA0019A,Hartford,tract,019A,896,92,834,55,7,9,1960 Census - Social Explorer
G0900030HA0019B,Hartford,tract,019B,1832,90,1703,118,11,57,1960 Census - Social Explorer
G0900030HA0020,Hartford,tract,20,4813,100,4791,21,1,0,1960 Census - Social Explorer
G0900030HA0021,Hartford,tract,21,6009,98,5888,112,9,0,1960 Census - Social Explorer
G0900030HA0022,Hartford,tract,22,2211,99,2198,7,6,8,1960 Census - Social Explorer
G0900030HA0023,Hartford,tract,23,4964,100,4961,2,1,0,1960 Census - Social Explorer
G0900030HA0024,Hartford,tract,24,5186,100,5177,5,4,4,1960 Census - Social Explorer
G0900030HA0025,Hartford,tract,25,4160,99,4153,7,0,32,1960 Census - Social Explorer
G0900030HA0026,Hartford,tract,26,3301,100,3298,0,3,0,1960 Census - Social Explorer
G0900030HA0027,Hartford,tract,27,3354,100,3347,0,7,8,1960 Census - Social Explorer
G0900030HA0028,Hartford,tract,28,5115,100,5090,11,14,0,1960 Census - Social Explorer
G0900030HA0029,Hartford,tract,29,1192,95,1180,9,3,50,1960 Census - Social Explorer
G0900030HA0030,Hartford,tract,30,1907,99,1894,8,5,0,1960 Census - Social Explorer
G0900030HA0031,Hartford,tract,31,3137,99,3110,18,9,0,1960 Census - Social Explorer
G0900030HA0032,Hartford,tract,32,2189,98,2151,38,0,0,1960 Census - Social Explorer
G0900030HA0033,Hartford,tract,33,1131,99,1118,7,6,0,1960 Census - Social Explorer
G0900030HA0034,Hartford,tract,34,3543,90,3195,344,4,0,1960 Census - Social Explorer
G0900030HA0035A,Hartford,tract,035A,3216,75,2415,800,1,0,1960 Census - Social Explorer
G0900030HA0035B,Hartford,tract,035B,6001,99,5917,80,4,0,1960 Census - Social Explorer
G0900030HA0035C,Hartford,tract,035C,3928,99,3903,19,6,8,1960 Census - Social Explorer
G0900030HA0036,Hartford,tract,36,1963,97,1955,8,0,53,1960 Census - Social Explorer
G0900030HA0037,Hartford,tract,37,4882,99,4829,32,21,8,1960 Census - Social Explorer
G0900030HA0038,Hartford,tract,38,3196,99,3175,13,8,4,1960 Census - Social Explorer
G0900030HA0039,Hartford,tract,39,4256,99,4241,9,6,16,1960 Census - Social Explorer
G0900030HA0040A,Hartford,tract,040A,4710,100,4708,1,1,0,1960 Census - Social Explorer
G0900030HA0040B,Hartford,tract,040B,3716,58,2389,1322,5,235,1960 Census - Social Explorer
G0900030HA0040C,Hartford,tract,040C,2474,100,2474,0,0,0,1960 Census - Social Explorer
G0900030HA0040D,Hartford,tract,040D,3849,100,3849,0,0,0,1960 Census - Social Explorer
G0900030HA0041,Hartford,tract,41,6119,91,5589,518,12,13,1960 Census - Social Explorer
G0900030MA0137,Manchester,tract,137,1703,100,1695,8,0,0,1960 Census - Social Explorer
G0900030MA0138,Manchester,tract,138,2569,99,2554,15,0,0,1960 Census - Social Explorer
G0900030MA0139,Manchester,tract,139,5043,100,5041,2,0,0,1960 Census - Social Explorer
G0900030MA0140,Manchester,tract,140,4881,100,4878,1,2,0,1960 Census - Social Explorer
G0900030MA0141,Manchester,tract,141,5296,100,5289,7,0,0,1960 Census - Social Explorer
G0900030MA0142,Manchester,tract,142,4767,100,4756,6,5,0,1960 Census - Social Explorer
G0900030MA0143,Manchester,tract,143,3990,100,3982,6,2,4,1960 Census - Social Explorer
G0900030MA0144,Manchester,tract,144,3535,100,3534,0,1,0,1960 Census - Social Explorer
G0900030MA0145,Manchester,tract,145,6385,100,6367,12,6,0,1960 Census - Social Explorer
G0900030MA0146,Manchester,tract,146,3933,98,3854,75,4,17,1960 Census - Social Explorer
G0900030NE0160,Newington,tract,160,3284,99,3261,7,16,0,1960 Census - Social Explorer
G0900030NE0161,Newington,tract,161,3355,100,3346,8,1,0,1960 Census - Social Explorer
G0900030NE0162,Newington,tract,162,5018,100,5005,9,4,4,1960 Census - Social Explorer
G0900030NE0163,Newington,tract,163,4075,98,4013,59,3,0,1960 Census - Social Explorer
G0900030NE0164,Newington,tract,164,1932,99,1917,13,2,0,1960 Census - Social Explorer
G0900030PV0001,Plainville,tract,1,13149,97,12829,298,22,33,1960 Census - Social Explorer
G0900030RH0151,Rocky Hill,tract,151,3040,99,3033,7,0,9,1960 Census - Social Explorer
G0900030RH0152,Rocky Hill,tract,152,1124,93,1048,74,2,3,1960 Census - Social Explorer
G0900030RH0153,Rocky Hill,tract,153,3240,99,3217,22,1,0,1960 Census - Social Explorer
G0900030SI0169,Simsbury,tract,169,3820,99,3789,30,1,3,1960 Census - Social Explorer
G0900030SI0170,Simsbury,tract,170,1888,93,1832,54,2,70,1960 Census - Social Explorer
G0900030SI0171,Simsbury,tract,171,2450,100,2447,1,2,0,1960 Census - Social Explorer
G0900030SI0172,Simsbury,tract,172,1980,100,1977,3,0,0,1960 Census - Social Explorer
G0900030SO0001,Southington,tract,1,22797,100,22758,27,12,20,1960 Census - Social Explorer
G0900030SU0188,Suffield,tract,188,6779,97,6565,212,2,16,1960 Census - Social Explorer
G0900030SW0124,South Windsor,tract,124,5698,100,5681,9,8,0,1960 Census - Social Explorer
G0900030SW0125,South Windsor,tract,125,3762,98,3705,48,9,0,1960 Census - Social Explorer
G0900030WE0154,Wethersfield,tract,154,4047,93,3803,240,4,35,1960 Census - Social Explorer
