gisjoin,town,area,num,pop,pctw,pctnw
G0900030WE0159,Wethersfield,tract,159,2546,100,0
G09000300004,New Britain,tract,4,3480,100,0
G0900030WL0174,Windsor Locks,tract,174,11411,99,1
G0900030HA0035A,Hartford,tract,035A,3216,75,24
G09000300005,New Britain,tract,5,1974,100,0
G0900030AV0168,Avon,tract,168,5273,100,0
G0900030NE0160,Newington,tract,160,3284,99,1
G0900030HA0003,Hartford,tract,003,5637,99,1
G0900030HA0038,Hartford,tract,038,3196,99,1
G0900030EH0130,East Hartford,tract,130,4744,99,1
G0900030MA0143,Manchester,tract,143,3990,100,0
G0900030WE0156,Wethersfield,tract,156,4535,100,0
G0900030HA0032,Hartford,tract,032,2189,98,2
G0900030EH0126,East Hartford,tract,126,4395,98,2
G09000300015,New Britain,tract,15,4655,100,0
G0900030HA0017,Hartford,tract,017,1224,98,4
G0900030HA0035B,Hartford,tract,035B,6001,99,1
G0900030HA0036,Hartford,tract,036,1963,100,1
G09000300010,New Britain,tract,10,3795,98,2
G0900030WI0123,,tract,123,5909,88,12
G0900030BE0001,Berlin,tract,001,11250,100,0
G0900030HA0002,Hartford,tract,002,2960,99,1
G0900030MA0137,Manchester,tract,137,1703,100,0
G0900030HA0007,Hartford,tract,007,2022,49,50
G09000300016,New Britain,tract,16,3472,100,0
G0900030EW0176,East Windsor,tract,176,2644,99,0
G0900030MA0146,Manchester,tract,146,3933,98,2
G0900030WH0105,West Hartford,tract,105,2798,100,0
G0900030WH0112,West Hartford,tract,112,6839,99,1
G0900030HA0024,Hartford,tract,024,5186,100,0
G0900030WE0154,Wethersfield,tract,154,4047,94,6
G09000300009,New Britain,tract,9,4907,100,0
G0900030HA0022,Hartford,tract,022,2211,99,1
G09000300003,New Britain,tract,3,5101,100,0
G09000300008,New Britain,tract,8,5745,98,2
G09000300012,New Britain,tract,12,5894,94,6
G0900030EW0175,East Windsor,tract,175,4856,97,3
G0900030HA0021,Hartford,tract,021,6009,98,2
G0900030NE0161,Newington,tract,161,3355,100,1
G09000300019,New Britain,tract,19,2969,100,0
G0900030HA0009,Hartford,tract,009,4510,2,98
G09000300017,New Britain,tract,17,3064,99,1
G0900030HA0039,Hartford,tract,039,4256,100,1
G0900030PV0001,Plainville,tract,001,13149,98,2
