join,town,area,num,pop,pctw,pctnw
Hartford1,Hartford,ward,1,8523,99,1
Hartford2,Hartford,ward,2,11323,99,1
Hartford3,Hartford,ward,3,11919,94,6
Hartford4,Hartford,ward,4,10817,96,4
Hartford5,Hartford,ward,5,5063,97,3
Hartford6,Hartford,ward,6,6797,100,0
Hartford7,Hartford,ward,7,13164,99,1
Hartford8,Hartford,ward,8,11899,99,1
Hartford9,Hartford,ward,9,8233,99,1
Hartford10,Hartford,ward,10,11177,99,1
Avon,Avon,town,,1337,100,0
Berlin,Berlin,town,,3728,99,1
Bloomfield,Bloomfield,town,,1821,97,3
Bristol,Bristol,town,,13502,100,0
Burlington,Burlington,town,,1319,100,0
Canton,Canton,town,,2732,99,1
East Granby,East Granby,town,,797,99,1
East Hartford,East Hartford,town,,8138,99,1
East Windsor,East Windsor,town,,3362,99,1
Enfield,Enfield,town,,9719,100,0
Farmington,Farmington,town,,3478,99,1
Glastonbury,Glastonbury,town,,4796,98,2
Granby,Granby,town,,1383,99,1
Hartland,Hartland,town,,544,100,0
Manchester,Manchester,town,,13641,100,0
Marlborough,Marlborough,town,,302,100,0
New Britain,New Britain,town,,43916,100,0
Newington,Newington,town,,1689,98,2
Plainville,Plainville,town,,2882,95,5
Rocky Hill,Rocky Hill,town,,1187,100,0
Simsbury,Simsbury,town,,2537,99,1
South Windsor,South Windsor,town,,6516,100,0
Southington,Southington,town,,2251,99,1
Suffield,Suffield,town,,3841,97,3
West Hartford,West Hartford,town,,4808,98,2
Wethersfield,Wethersfield,town,,3148,97,3
Windsor,Windsor,town,,4178,96,4
Windsor Locks,Windsor Locks,town,,3715,100,0
