join,town,area,num,pop,pctw,pctnw
Hartford1,Hartford,ward,1,12271,99,1
Hartford2,Hartford,ward,2,21330,94,6
Hartford3,Hartford,ward,3,16552,91,9
Hartford4,Hartford,ward,4,9968,100,0
Hartford5,Hartford,ward,5,13099,93,7
Hartford6,Hartford,ward,6,10079,99,1
Hartford7,Hartford,ward,7,9402,99,1
Hartford8,Hartford,ward,8,18947,100,0
Hartford9,Hartford,ward,9,14445,99,1
Hartford10,Hartford,ward,10,11943,100,0
Bloomfield6,Bloomfield,district,6,1065,99,1
Bloomfield5,Bloomfield,district,5,1329,96,4
Avon,Avon,town,,1534,100,0
Berlin,Berlin,town,,4298,99,1
Bristol,Bristol,town,,20620,100,0
Burlington,Burlington,town,,1109,99,1
Canton,Canton,town,,2549,99,1
East Granby,East Granby,town,,1056,98,2
East Hartford,East Hartford,town,,11648,99,1
East Windsor,East Windsor,town,,3741,99,1
Enfield,Enfield,town,,11719,100,0
Farmington,Farmington,town,,3844,99,1
Glastonbury,Glastonbury,town,,5952,99,1
Granby,Granby,town,,1342,99,1
Hartland,Hartland,town,,448,100,0
Manchester,Manchester,town,,18370,100,0
Marlborough,Marlborough,town,,303,100,0
New Britain,New Britain,town,,59316,99,1
Newington,Newington,town,,2381,98,2
Plainville,Plainville,town,,4114,96,4
Rocky Hill,Rocky Hill,town,,1633,100,0
Simsbury,Simsbury,town,,2958,99,1
South Windsor,South Windsor,town,,8440,100,0
Southington,Southington,town,,2142,100,0
Suffield,Suffield,town,,4070,96,4
West Hartford,West Hartford,town,,8854,99,1
Wethersfield,Wethersfield,town,,4342,97,3
Windsor,Windsor,town,,5620,96,4
Windsor Locks,Windsor Locks,town,,3554,99,1
